Subj,RT_mean.1,RT_mean.2,RT_mean.3
1,2153.15625,1786.56896551724,2053.84210526316
4,1731.66129032258,1534.95081967213,1959.5
5,2386.53968253968,1970.53333333333,3124.33333333333
7,1905.67857142857,1733.47540983607,2125.01923076923
9,2276.78333333333,2103.92857142857,2735.77419354839
10,1847.71428571429,1614.50793650794,1905.35593220339
11,2223.25806451613,2195.16129032258,2565.85
13,3396.13793103448,2725.59322033898,3418.20338983051
14,2152.93442622951,1835.52459016393,2271.81666666667
15,1042.18032786885,975,1011.98360655738
16,1963.54098360656,1864.06451612903,2322.44827586207
17,1724.6393442623,1670.36666666667,2284.88461538462
19,1429.48214285714,1472.79032258065,1594.37288135593
20,1261.70175438596,1154.66129032258,1424.40740740741
