Subj,Cond,Block,Trial,Order,quadrant,eye,face,emotion,Resp,Name,Stim,RT,Correct
1,1,1,1,14,1,1,1,1,30,A,"mask8.avi (170x170)",1381,True
1,1,1,2,36,1,1,1,1,30,A,"mask1.avi (170x170)",1539,True
1,1,1,3,50,1,1,1,2,30,A,"mask1.avi (170x170)",1042,True
1,1,1,4,30,1,1,1,2,30,A,"mask8.avi (170x170)",2139,True
1,1,1,5,89,1,1,1,3,30,A,"mask2.avi (170x170)",2607,True
1,1,1,6,39,1,1,1,3,30,A,"mask4.avi (170x170)",1908,True
1,1,1,7,41,1,1,2,1,30,A,"mask4.avi (170x170)",1563,True
1,1,1,8,190,1,1,2,1,30,A,"mask9.avi (170x170)",3568,True
1,1,1,9,26,1,1,2,2,30,A,"mask4.avi (170x170)",1858,True
1,1,1,10,57,1,1,2,2,30,A,"mask2.avi (170x170)",1180,True
1,1,1,11,93,1,1,2,3,30,A,"mask3.avi (170x170)",1720,True
1,1,1,12,153,1,1,2,3,40,APOSTROPHE,"mask0.avi (170x170)",3125,False
1,1,1,13,85,1,1,3,1,30,A,"mask4.avi (170x170)",1876,True
1,1,1,14,184,1,1,3,1,30,A,"mask6.avi (170x170)",1584,True
1,1,1,15,197,1,1,3,2,30,A,"mask4.avi (170x170)",1592,True
1,1,1,16,95,1,1,3,2,30,A,"mask4.avi (170x170)",1537,True
1,1,1,17,186,1,1,3,3,30,A,"mask7.avi (170x170)",3298,True
1,1,1,18,63,1,1,3,3,30,A,"mask7.avi (170x170)",1701,True
1,1,1,19,18,1,1,4,1,30,A,"mask2.avi (170x170)",1542,True
1,1,1,20,58,1,1,4,1,30,A,"mask2.avi (170x170)",1649,True
1,1,1,21,42,1,1,4,2,30,A,"mask2.avi (170x170)",1258,True
1,1,1,22,194,1,1,4,2,30,A,"mask7.avi (170x170)",2660,True
1,1,1,23,20,1,1,4,3,30,A,"mask7.avi (170x170)",1566,True
1,1,1,24,193,1,1,4,3,40,APOSTROPHE,"mask1.avi (170x170)",1706,False
1,1,1,25,70,2,1,1,1,40,APOSTROPHE,"mask5.avi (170x170)",2573,True
1,1,1,26,113,2,1,1,1,40,APOSTROPHE,"mask2.avi (170x170)",1108,True
1,1,1,27,109,2,1,1,2,40,APOSTROPHE,"mask2.avi (170x170)",2067,True
1,1,1,28,22,2,1,1,2,40,APOSTROPHE,"mask8.avi (170x170)",1202,True
1,1,1,29,133,2,1,1,3,40,APOSTROPHE,"mask4.avi (170x170)",2609,True
1,1,1,30,103,2,1,1,3,40,APOSTROPHE,"mask2.avi (170x170)",1560,True
1,1,1,31,67,2,1,2,1,40,APOSTROPHE,"mask0.avi (170x170)",2234,True
1,1,1,32,187,2,1,2,1,40,APOSTROPHE,"mask2.avi (170x170)",1734,True
1,1,1,33,112,2,1,2,2,40,APOSTROPHE,"mask3.avi (170x170)",1806,True
1,1,1,34,172,2,1,2,2,40,APOSTROPHE,"mask2.avi (170x170)",1495,True
1,1,1,35,27,2,1,2,3,40,APOSTROPHE,"mask1.avi (170x170)",1398,True
1,1,1,36,102,2,1,2,3,40,APOSTROPHE,"mask6.avi (170x170)",2449,True
1,1,1,37,129,2,1,3,1,40,APOSTROPHE,"mask3.avi (170x170)",2410,True
1,1,1,38,146,2,1,3,1,40,APOSTROPHE,"mask4.avi (170x170)",2741,True
1,1,1,39,156,2,1,3,2,40,APOSTROPHE,"mask3.avi (170x170)",1772,True
1,1,1,40,122,2,1,3,2,40,APOSTROPHE,"mask8.avi (170x170)",3373,True
1,1,1,41,96,2,1,3,3,40,APOSTROPHE,"mask3.avi (170x170)",3685,True
1,1,1,42,43,2,1,3,3,30,A,"mask4.avi (170x170)",1438,False
1,1,1,43,56,2,1,4,1,40,APOSTROPHE,"mask3.avi (170x170)",1976,True
1,1,1,44,107,2,1,4,1,40,APOSTROPHE,"mask4.avi (170x170)",1776,True
1,1,1,45,142,2,1,4,2,44,Z,"mask1.avi (170x170)",1497,False
1,1,1,46,31,2,1,4,2,40,APOSTROPHE,"mask2.avi (170x170)",1696,True
1,1,1,47,198,2,1,4,3,40,APOSTROPHE,"mask2.avi (170x170)",1657,True
1,1,1,48,73,2,1,4,3,40,APOSTROPHE,"mask0.avi (170x170)",1439,True
1,1,1,49,13,3,1,1,1,53,/,"mask5.avi (170x170)",2206,True
1,1,1,50,29,3,1,1,1,53,/,"mask3.avi (170x170)",2275,True
1,1,1,51,165,3,1,1,2,53,/,"mask6.avi (170x170)",1496,True
1,1,1,52,105,3,1,1,2,53,/,"mask1.avi (170x170)",2232,True
1,1,1,53,54,3,1,1,3,53,/,"mask9.avi (170x170)",2639,True
1,1,1,54,49,3,1,1,3,53,/,"mask0.avi (170x170)",2433,True
