Exp,SsNum,Index,RT,Acc,Affect,Wrd1,Wrd2
Replication,1,1,0.895267398,1,1.65,0.1,0.6
Replication,1,2,1.083116402,1,2.05,0.05,1.6
Replication,1,3,0.855084467,1,-2,1.6,0.5
Replication,1,4,0.935647296,1,0.2,0.8,0.2
Replication,1,5,0.790968911,1,1.15,1.1,1.75
Replication,1,6,1.141071547,1,-0.2,1.15,0.15
Replication,1,7,0.840506034,1,1.05,1.35,1.55
Replication,1,8,1.847824708,0,0.85,0.9,-0.05
Replication,1,9,0.975386128,1,1.9,1.2,1.8
Replication,1,10,1.080781084,1,1.8,1.7,0.315789474
Replication,1,11,0.734805234,1,-2.684210526,0.05,1.526315789
Replication,1,12,0.943698442,1,0.4,0.45,1.4
Replication,1,13,1.108598201,0,-4.15,0.55,-0.45
Replication,1,14,0.715824021,1,-3.75,0.5,0.6
Replication,1,15,0.80467773,1,-3.105263158,1.4,1.5
Replication,1,16,0.65308485,1,-2.7,1.7,-0.35
Replication,1,17,0.825713302,1,-2.15,0.15,1.4
Replication,1,18,1.404030326,1,0.2,0.2,-0.1
Replication,1,19,0.855508832,1,0.95,0.05,0.05
Replication,1,20,0.815579194,1,-0.1,0,0.25
Replication,1,21,0.705906351,1,-4.35,0.15,1.3
Replication,1,22,0.844278161,1,-3.1,1.3,0.8
Replication,1,23,0.745321923,1,0.35,0.15,-0.35
Replication,1,24,0.605340395,1,-3.45,-0.75,-0.6
Replication,1,25,0.955226363,0,0.75,1.05,1.4
Replication,1,26,0.865222748,1,0.65,0.2,-0.5
Replication,1,27,1.505858006,1,-3.85,0,1.55
Replication,1,28,1.035237884,1,-3.85,0.95,-0.2
Replication,1,29,0.875862638,1,1.95,1.9,1.7
Replication,1,30,0.735505038,1,-2.25,-0.45,1.65
Replication,1,31,0.815935225,1,-4.1,-0.85,0.25
Replication,1,32,0.955199615,1,-3.35,0.2,0.45
Replication,1,33,0.841498681,1,-1.736842105,-0.8,0.35
Replication,1,34,0.785387211,1,-2.25,1.9,-0.1
Replication,1,35,0.92479216,1,0.1,-0.5,-0.85
Replication,1,36,0.894837261,1,-3.45,1.1,-0.25
Replication,1,37,0.905588384,1,-3.55,1.8,0.25
Replication,1,38,0.862233416,1,-2.55,0,-0.9
Replication,1,39,0.735481132,1,-2.05,1,1.6
Replication,1,40,1.303860998,1,-0.3,0.85,0.6
Replication,1,41,0.805699648,1,0.35,0.842105263,1.5
Replication,1,42,0.724965865,1,0.3,0.1,1.05
Replication,1,43,1.388059214,1,-4.7,1.95,1.2
Replication,1,44,0.974933989,1,0.85,0.9,1.15
Replication,1,45,0.856278921,1,1.45,0.3,1.65
Replication,1,46,0.830504136,1,-2.15,0.15,-0.05
Replication,2,1,0.830969602,1,1.65,0.1,0.6
Replication,2,2,1.306957179,1,2.05,0.05,1.6
Replication,2,3,1.220236007,1,-2,1.6,0.5
Replication,2,4,1.330767189,1,0.2,0.8,0.2
Replication,2,5,1.108658948,1,1.15,1.1,1.75
Replication,2,6,0.800985967,1,-0.2,1.15,0.15
Replication,2,7,0.965853681,1,1.05,1.35,1.55
Replication,2,8,0.93154166,1,0.85,0.9,-0.05
Replication,2,9,0.92011399,1,1.9,1.2,1.8
Replication,2,10,1.119741418,1,1.8,1.7,0.315789474
Replication,2,11,0.909008325,1,-2.684210526,0.05,1.526315789
Replication,2,12,1.155683055,1,0.4,0.45,1.4
Replication,2,13,0.891693182,1,-4.15,0.55,-0.45
Replication,2,14,1.752134736,0,-3.75,0.5,0.6
Replication,2,15,1.174889527,1,-3.105263158,1.4,1.5
Replication,2,16,0.920741831,1,-2.7,1.7,-0.35
Replication,2,17,0.8611473,1,-2.15,0.15,1.4
Replication,2,18,1.871806758,1,0.2,0.2,-0.1
Replication,2,19,1.141173482,1,0.95,0.05,0.05
Replication,2,20,1.020912957,1,-0.1,0,0.25
Replication,2,21,1.136530693,1,-4.35,0.15,1.3
Replication,2,22,1.081289975,1,-3.1,1.3,0.8
Replication,2,23,1.568928171,1,0.35,0.15,-0.35
Replication,2,24,0.728137696,0,-3.45,-0.75,-0.6
Replication,2,25,1.080704637,1,0.75,1.05,1.4
Replication,2,26,2.269526917,1,0.65,0.2,-0.5
Replication,2,27,1.148752849,1,-3.85,0,1.55
Replication,2,28,1.069771092,1,-3.85,0.95,-0.2
Replication,2,29,1.109169448,1,1.95,1.9,1.7
Replication,2,30,1.309519032,1,-2.25,-0.45,1.65
Replication,2,31,0.89135829,1,-4.1,-0.85,0.25
Replication,2,32,0.911210749,1,-3.35,0.2,0.45
Replication,2,33,0.892421662,1,-1.736842105,-0.8,0.35
Replication,2,34,1.231650827,1,-2.25,1.9,-0.1
Replication,2,35,1.422046896,1,0.1,-0.5,-0.85
Replication,2,36,0.780733838,1,-3.45,1.1,-0.25
Replication,2,37,1.0425197,1,-3.55,1.8,0.25
Replication,2,38,1.386862219,1,-2.55,0,-0.9
Replication,2,39,1.361073306,1,-2.05,1,1.6
Replication,2,40,1.140988472,1,-0.3,0.85,0.6
Replication,2,41,0.949622726,1,0.35,0.842105263,1.5
Replication,2,42,0.980963397,1,0.3,0.1,1.05
Replication,2,43,0.911412812,1,-4.7,1.95,1.2
Replication,2,44,1.010785845,1,0.85,0.9,1.15
Replication,2,45,0.888713426,1,1.45,0.3,1.65
Replication,2,46,0.937698398,1,-2.15,0.15,-0.05
Replication,3,1,0.780801555,1,1.65,0.1,0.6
Replication,3,2,0.798396069,1,2.05,0.05,1.6
Replication,3,3,0.821023989,1,-2,1.6,0.5
Replication,3,4,1.549612494,1,0.2,0.8,0.2
Replication,3,5,1.158733214,1,1.15,1.1,1.75
Replication,3,6,1.568321522,1,-0.2,1.15,0.15
Replication,3,7,0.779253522,0,1.05,1.35,1.55
Replication,3,8,1.581035164,1,0.85,0.9,-0.05
Replication,3,9,1.820873476,1,1.9,1.2,1.8
Replication,3,10,1.370486006,1,1.8,1.7,0.315789474
Replication,3,11,0.788430948,1,-2.684210526,0.05,1.526315789
Replication,3,12,0.650362648,1,0.4,0.45,1.4
Replication,3,13,1.460372802,1,-4.15,0.55,-0.45
Replication,3,14,0.860168269,1,-3.75,0.5,0.6
Replication,3,15,2.881185857,1,-3.105263158,1.4,1.5
Replication,3,16,1.241008858,1,-2.7,1.7,-0.35
Replication,3,17,0.670116386,1,-2.15,0.15,1.4
Replication,3,18,1.090459872,1,0.2,0.2,-0.1
Replication,3,19,0.768762476,1,0.95,0.05,0.05
Replication,3,20,0.827982022,1,-0.1,0,0.25
Replication,3,21,1.47055559,1,-4.35,0.15,1.3
Replication,3,22,1.140151216,1,-3.1,1.3,0.8
Replication,3,23,1.740474932,1,0.35,0.15,-0.35
Replication,3,24,0.647572878,1,-3.45,-0.75,-0.6
Replication,3,25,1.641044486,1,0.75,1.05,1.4
