Exp,SsNum,RT.2.00,RT.3.00
Nov,1,1.33,1.43
Nov,2,1.02,1.03
Nov,3,0.91,0.93
Nov,4,0.68,0.67
Nov,5,0.87,0.86
Nov,6,0.87,0.94
Nov,7,0.83,0.86
Nov,8,0.80,0.77
Nov,10,1.05,1.08
Nov,11,1.61,2.07
Nov,12,0.86,0.88
Nov,13,0.88,0.97
Nov,14,0.71,0.68
Nov,15,1.52,1.71
Nov,16,1.10,1.08
Nov,17,1.03,0.93
Nov,18,1.12,1.11
Nov,19,0.71,0.76
Nov,20,1.44,1.57
Nov,21,1.30,1.28
Nov,22,0.65,0.69
Nov,23,1.09,1.20
Nov,24,1.41,1.56
Nov,25,1.33,1.36
Nov,26,0.96,1.14
Nov,27,0.84,0.83
Nov,28,1.88,1.87
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
