Exp,SsNum,RT.2.00,RT.3.00
Replication,1,0.87,0.92
Replication,2,1.04,1.14
Replication,3,1.37,1.31
Replication,5,1.41,1.79
Replication,6,1.23,1.19
Replication,7,1.16,1.12
Replication,8,0.99,0.99
Replication,9,1.05,1.06
Replication,10,1.13,1.12
Replication,11,0.98,0.98
Replication,12,1.19,1.28
Replication,13,1.41,1.54
Replication,14,1.05,1.28
Replication,15,0.88,0.97
Replication,16,0.99,0.99
Replication,17,1.54,1.63
Replication,18,1.54,1.56
Replication,20,0.75,0.75
Replication,21,1.14,1.18
Replication,22,1.32,1.23
Replication,23,1.97,2.46
Replication,24,1.33,1.45
Replication,25,1.37,1.40
Replication,26,1.72,1.66
Replication,27,1.06,1.06
Replication,28,1.32,1.28
Replication,29,2.05,2.67
Replication,30,1.32,1.35
