"","Subject","Trial","Type","Stimulus","Eye","Location","Alpha","Orientation","fadeIn","Response","RT","Acc","Order"
"1","1",1,"bCFS","f42887_e_015",1,10,0.579954613479529,"0",1,2,1.0904476038686,1,1
"2","1",2,"bCFS","f42887_e_022",0,9,0.579954613479529,"180",1,1,1.01060710509955,1,1
"3","1",3,"bCFS","f42887_e_009",0,9,0.722467405584208,"180",1,1,0.900296242460172,1,1
"4","1",4,"bCFS","f42887_e_013",0,9,0.465553672174608,"0",1,1,1.14026732368802,1,1
"5","1",5,"bCFS","f42887_e_027",1,10,0.9,"0",1,2,0.786284007186623,1,1
"6","1",6,"bCFS","f42887_e_021",1,10,0.3,"180",1,2,3.18974990261631,1,1
"7","1",7,"bCFS","f42887_e_021",0,10,0.722467405584208,"0",1,2,1.05937434819316,1,1
"8","1",8,"bCFS","f42887_e_024",0,10,0.722467405584208,"180",1,2,3.26079581380327,1,1
"9","1",9,"bCFS","f42887_e_012",1,10,0.465553672174608,"0",1,2,1.35838659380897,1,1
"10","1",10,"bCFS","f42887_e_002",1,10,0.3,"0",1,2,1.04379651079034,1,1
"11","1",11,"bCFS","f42887_e_007",1,9,0.9,"180",1,1,1.09467617170776,1,1
"12","1",12,"bCFS","f42887_e_019",0,9,0.722467405584208,"0",1,1,0.833531006119301,1,1
"13","1",13,"bCFS","f42887_e_022",1,9,0.722467405584208,"0",1,1,0.846225729084836,1,1
"14","1",14,"bCFS","f42887_e_006",1,10,0.3,"180",1,2,8.6008792219618,1,1
"15","1",15,"bCFS","f42887_e_019",1,9,0.579954613479529,"0",1,1,1.04351162051717,1,1
"16","1",16,"bCFS","f42887_e_004",1,9,0.579954613479529,"180",1,1,1.25368350949793,1,1
"17","1",17,"bCFS","f42887_e_002",0,9,0.465553672174608,"0",1,1,1.0641174167431,1,1
"18","1",18,"bCFS","f42887_e_010",1,10,0.373719281884655,"180",1,2,2.26664570586581,1,1
"19","1",19,"bCFS","f42887_e_005",1,10,0.579954613479529,"0",1,2,1.01879987753273,1,1
"20","1",20,"bCFS","f42887_e_025",0,10,0.373719281884655,"0",1,2,2.51825699983783,1,1
"21","1",21,"bCFS","f42887_e_026",0,9,0.3,"180",1,1,3.38176563502748,1,1
"22","1",22,"bCFS","f42887_e_025",1,9,0.722467405584208,"180",1,1,1.86481917356286,1,1
"23","1",23,"bCFS","f42887_e_006",1,9,0.579954613479529,"0",1,1,1.1857545964649,1,1
"24","1",24,"bCFS","f42887_e_018",1,10,0.9,"0",1,2,0.741236199426567,1,1
"25","1",25,"bCFS","f42887_e_008",1,9,0.9,"180",1,1,1.18608186579695,1,1
"26","1",26,"bCFS","f42887_e_012",0,9,0.579954613479529,"180",1,1,1.27680689591216,1,1
"27","1",27,"bCFS","f42887_e_007",0,10,0.3,"180",1,NA,NA,-1,1
"28","1",28,"bCFS","f42887_e_012",0,9,0.722467405584208,"0",1,1,0.911530603663778,1,1
"29","1",29,"bCFS","f42887_e_016",1,9,0.465553672174608,"0",1,1,1.07089343226471,1,1
"30","1",30,"bCFS","f42887_e_007",1,10,0.3,"0",1,2,1.31806226061963,1,1
"31","1",31,"bCFS","f42887_e_010",1,10,0.373719281884655,"0",1,2,2.41928033440126,1,1
"32","1",32,"bCFS","f42887_e_024",0,10,0.465553672174608,"180",1,2,1.67737443714213,1,1
"33","1",33,"bCFS","f42887_e_019",1,9,0.465553672174608,"180",1,1,6.24343647915157,1,1
"34","1",34,"bCFS","f42887_e_003",1,9,0.579954613479529,"180",1,1,1.4927083139246,1,1
