ID,Trial,TrialNumber,RT,IsCOrrect,FaceGabor,UpDown,MaskKind,MaskSide,ScreenLocation,Block
6,1,19,10.00062034,-1,1,1,2,1,6,1
6,2,96,10.01198601,-1,1,0,0,1,6.5,1
6,3,94,8.773696341,0,1,0,2,1,6.5,1
6,4,41,4.526348487,1,1,1,2,1,6,1
6,5,52,10.01602049,-1,1,0,2,1,6.5,1
6,6,71,10.00368522,-1,1,1,0,1,6.5,1
6,7,90,6.953127288,1,1,0,2,1,6.5,1
6,8,29,6.908481463,1,1,1,2,1,6,1
6,9,76,8.694800155,0,1,0,0,1,6.5,1
6,10,55,10.01063364,-1,1,1,2,1,6.5,1
6,11,60,10.01389262,-1,1,0,2,1,6.5,1
6,12,48,8.596084457,1,1,0,0,1,6,1
6,13,97,8.454042404,1,1,1,0,1,7,1
6,14,3,5.365910233,1,1,1,2,1,6,1
6,15,106,6.09868853,0,1,0,0,1,7,1
6,16,33,2.630049854,1,1,1,2,1,6,1
6,17,20,5.183903438,1,1,0,2,1,6,1
6,18,125,10.00688956,-1,1,1,2,1,7,1
6,19,118,9.612440022,1,1,0,0,1,7,1
6,20,32,10.00542036,-1,1,0,0,1,6,1
6,21,123,6.117686355,1,1,1,0,1,7,1
6,22,28,4.679819301,1,1,0,0,1,6,1
6,23,102,10.00407765,-1,1,0,0,1,7,1
6,24,88,3.871159283,0,1,0,0,1,6.5,1
6,25,66,7.504783266,0,1,0,0,1,6.5,1
6,26,109,4.59484619,1,1,1,0,1,7,1
6,27,108,7.140881065,0,1,0,2,1,7,1
6,28,80,10.00691522,-1,1,0,0,1,6.5,1
6,29,143,10.01665532,-1,1,1,0,1,7,1
6,30,86,2.391469181,1,1,0,2,1,6.5,1
6,31,124,5.178761099,1,1,0,0,1,7,1
6,32,10,4.495220659,0,1,0,0,1,6,1
6,33,51,7.026134311,0,1,1,2,1,6.5,1
6,34,122,10.01468502,-1,1,0,2,1,7,1
6,35,37,2.902031729,1,1,1,2,1,6,1
6,36,38,1.866423561,1,1,0,2,1,6,1
6,37,5,5.261010144,1,1,1,0,1,6,1
6,38,84,7.104159,0,1,0,0,1,6.5,1
6,39,120,5.497463546,1,1,0,0,1,7,1
6,40,56,7.098444016,0,1,0,2,1,6.5,1
6,41,132,10.00908897,-1,1,0,0,1,7,1
6,42,115,6.979287257,1,1,1,2,1,7,1
6,43,43,2.531665004,1,1,1,0,1,6,1
6,44,64,2.82935314,1,1,0,2,1,6.5,1
6,45,136,9.252362502,1,1,0,0,1,7,1
6,46,65,2.682607967,1,1,1,0,1,6.5,1
6,47,12,2.200804481,1,1,0,2,1,6,1
6,48,2,2.377723877,1,1,0,0,1,6,1
6,49,101,4.62772516,0,1,1,0,1,7,1
6,50,142,4.4849713,1,1,0,2,1,7,1
6,51,130,3.832337417,0,1,0,2,1,7,1
6,52,133,8.091157502,0,1,1,2,1,7,1
6,53,73,4.370606108,1,1,1,2,1,6.5,1
6,54,138,10.01053553,-1,1,0,2,1,7,1
6,55,21,1.77353786,1,1,1,0,1,6,1
6,56,107,2.418236209,1,1,1,2,1,7,1
6,57,16,3.843531928,1,1,0,2,1,6,1
6,58,17,4.240457694,0,1,1,0,1,6,1
6,59,95,4.417374675,0,1,1,0,1,6.5,1
6,60,113,4.983252005,1,1,1,0,1,7,1
6,61,58,1.173909159,1,1,0,0,1,6.5,1
6,62,116,4.724815596,1,1,0,2,1,7,1
6,63,70,4.969497343,0,1,0,0,1,6.5,1
6,64,141,8.11026732,0,1,1,2,1,7,1
6,65,18,6.278268298,0,1,0,0,1,6,1
6,66,79,7.022545994,0,1,1,0,1,6.5,1
6,67,36,7.345203226,1,1,0,0,1,6,1
6,68,100,3.449723865,1,1,0,2,1,7,1
6,69,93,5.100677847,0,1,1,2,1,6.5,1
6,70,87,5.754076364,0,1,1,0,1,6.5,1
6,71,137,3.008377469,1,1,1,2,1,7,1
6,72,117,7.481149638,0,1,1,0,1,7,1
6,73,140,4.829387251,0,1,0,0,1,7,1
6,74,39,7.103237092,1,1,1,0,1,6,1
6,75,27,8.291788106,1,1,1,0,1,6,1
6,76,121,6.606534257,1,1,1,2,1,7,1
6,77,6,5.213597086,1,1,0,0,1,6,1
6,78,46,4.022260124,1,1,0,2,1,6,1
6,79,15,2.495304276,0,1,1,2,1,6,1
6,80,57,3.71757889,0,1,1,0,1,6.5,1
6,81,54,5.866064035,0,1,0,0,1,6.5,1
6,82,91,4.076553078,0,1,1,0,1,6.5,1
6,83,127,5.273354172,0,1,1,0,1,7,1
6,84,72,10.0030036,-1,1,0,0,1,6.5,1
6,85,114,6.76798679,0,1,0,0,1,7,1
6,86,119,3.726487648,1,1,1,0,1,7,1
6,87,75,9.129615917,1,1,1,0,1,6.5,1
6,88,40,9.451004696,1,1,0,0,1,6,1
6,89,30,5.790524331,1,1,0,2,1,6,1
6,90,144,7.13310673,0,1,0,0,1,7,1
6,91,131,5.692938227,1,1,1,0,1,7,1
6,92,103,3.645493473,1,1,1,2,1,7,1
6,93,99,1.893301074,1,1,1,2,1,7,1
6,94,77,4.385646128,1,1,1,2,1,6.5,1
6,95,25,3.608394978,1,1,1,2,1,6,1
6,96,22,4.239334137,1,1,0,0,1,6,1
6,97,45,1.346821847,1,1,1,2,1,6,1
6,98,31,2.652697577,1,1,1,0,1,6,1
6,99,139,7.75375759,0,1,1,0,1,7,1
6,100,98,7.98784132,0,1,0,0,1,7,1
6,101,8,4.023941232,1,1,0,2,1,6,1
6,102,135,2.699898421,1,1,1,0,1,7,1
6,103,62,5.146542619,0,1,0,0,1,6.5,1
6,104,34,2.398370511,1,1,0,2,1,6,1
6,105,82,4.285006015,1,1,0,2,1,6.5,1
6,106,104,3.840670511,1,1,0,2,1,7,1
6,107,92,6.930039137,1,1,0,0,1,6.5,1
6,108,112,6.623412659,1,1,0,2,1,7,1
6,109,4,4.675637208,1,1,0,2,1,6,1
6,110,53,6.407478805,1,1,1,0,1,6.5,1
6,111,105,4.27183396,1,1,1,0,1,7,1
6,112,68,2.093120858,1,1,0,2,1,6.5,1
6,113,78,10.00961906,-1,1,0,2,1,6.5,1
6,114,7,4.78705314,1,1,1,2,1,6,1
6,115,129,1.945925296,1,1,1,2,1,7,1
6,116,13,3.170239941,1,1,1,0,1,6,1
6,117,110,8.866659925,0,1,0,0,1,7,1
6,118,9,2.40851331,1,1,1,0,1,6,1
6,119,63,4.599519726,1,1,1,2,1,6.5,1
6,120,49,6.669815362,0,1,1,0,1,6.5,1
6,121,85,4.349750279,1,1,1,2,1,6.5,1
6,122,81,10.01306187,-1,1,1,2,1,6.5,1
6,123,14,2.458229629,1,1,0,0,1,6,1
6,124,128,5.051177667,1,1,0,0,1,7,1
6,125,74,3.643570567,1,1,0,2,1,6.5,1
6,126,50,2.868137876,0,1,0,0,1,6.5,1
6,127,44,2.561634259,1,1,0,0,1,6,1
6,128,35,2.34863759,1,1,1,0,1,6,1
6,129,42,3.508700922,1,1,0,2,1,6,1
6,130,59,5.672059154,0,1,1,2,1,6.5,1
6,131,126,10.0104818,-1,1,0,2,1,7,1
6,132,23,1.797009987,1,1,1,0,1,6,1
6,133,69,2.447896652,1,1,1,0,1,6.5,1
6,134,67,5.080525977,1,1,1,2,1,6.5,1
6,135,26,10.00140852,-1,1,0,2,1,6,1
6,136,61,1.307011965,0,1,1,0,1,6.5,1
6,137,134,3.624149522,0,1,0,2,1,7,1
6,138,11,2.032014719,1,1,1,2,1,6,1
6,139,83,2.766955908,0,1,1,0,1,6.5,1
6,140,111,2.581905971,1,1,1,2,1,7,1
6,141,1,1.602362729,1,1,1,0,1,6,1
6,142,89,1.496666008,1,1,1,2,1,6.5,1
6,143,47,1.983791143,1,1,1,0,1,6,1
6,144,24,2.558531649,1,1,0,0,1,6,1
6,1,84,6.914409265,1,1,0,2,1,7,2
6,2,9,3.982732186,1,1,1,2,1,6.5,2
6,3,42,2.689953346,1,1,0,0,1,6.5,2
6,4,66,2.541313643,1,1,0,2,1,7,2
6,5,71,2.422500713,1,1,1,2,1,7,2
6,6,41,10.01310927,-1,1,1,0,1,6.5,2
6,7,2,2.18862316,1,1,0,2,1,6.5,2
6,8,36,2.313311669,1,1,0,2,1,6.5,2
6,9,32,2.19044977,1,1,0,2,1,6.5,2
6,10,57,3.416871158,0,1,1,2,1,7,2
6,11,107,6.930121246,0,1,1,0,1,6,2
6,12,39,2.449134013,1,1,1,2,1,6.5,2
6,13,124,2.340300873,1,1,0,2,1,6,2
6,14,101,2.378074951,1,1,1,2,1,6,2
6,15,81,3.381064662,1,1,1,0,1,7,2
6,16,67,10.0050883,-1,1,1,0,1,7,2
6,17,135,9.655376363,1,1,1,2,1,6,2
6,18,96,2.240454977,1,1,0,2,1,7,2
6,19,15,4.123807051,1,1,1,0,1,6.5,2
6,20,62,2.20627314,1,1,0,2,1,7,2
6,21,59,6.727029201,1,1,1,0,1,7,2
6,22,23,7.113753304,1,1,1,2,1,6.5,2
6,23,53,2.347229069,0,1,1,2,1,7,2
6,24,13,2.270789493,1,1,1,2,1,6.5,2
6,25,116,4.521564466,1,1,0,0,1,6,2
6,26,37,6.335086085,1,1,1,0,1,6.5,2
6,27,8,6.801113293,0,1,0,0,1,6.5,2
6,28,48,4.004307973,1,1,0,2,1,6.5,2
6,29,143,3.366483181,1,1,1,2,1,6,2
6,30,16,3.401519609,1,1,0,0,1,6.5,2
6,31,27,2.268919716,1,1,1,2,1,6.5,2
6,32,75,2.336238018,1,1,1,2,1,7,2
6,33,95,2.228275769,1,1,1,2,1,7,2
6,34,144,2.549501841,1,1,0,2,1,6,2
6,35,104,4.104057271,0,1,0,0,1,6,2
6,36,137,10.0050237,-1,1,1,0,1,6,2
6,37,44,5.297778697,0,1,0,2,1,6.5,2
6,38,70,2.438201223,1,1,0,2,1,7,2
6,39,141,5.916266061,1,1,1,0,1,6,2
6,40,139,2.210950601,1,1,1,2,1,6,2
6,41,125,10.0106276,-1,1,1,0,1,6,2
6,42,72,2.905153357,1,1,0,2,1,7,2
6,43,19,3.602830928,1,1,1,0,1,6.5,2
6,44,45,2.921324481,1,1,1,0,1,6.5,2
6,45,97,2.216974397,0,1,1,2,1,6,2
6,46,46,2.94157476,0,1,0,0,1,6.5,2
6,47,79,2.295234243,1,1,1,2,1,7,2
6,48,142,6.723864708,0,1,0,0,1,6,2
6,49,26,10.00935703,-1,1,0,0,1,6.5,2
6,50,126,10.00960577,-1,1,0,0,1,6,2
6,51,106,2.453541301,1,1,0,2,1,6,2
6,52,138,4.567844006,0,1,0,0,1,6,2
6,53,38,10.00921153,-1,1,0,0,1,6.5,2
6,54,69,2.562193622,1,1,1,2,1,7,2
6,55,131,2.716102146,1,1,1,2,1,6,2
6,56,68,9.733927512,0,1,0,0,1,7,2
6,57,74,9.293186665,1,1,0,0,1,7,2
6,58,14,2.496418777,1,1,0,2,1,6.5,2
6,59,132,2.402891301,1,1,0,2,1,6,2
6,60,54,2.300221421,1,1,0,2,1,7,2
6,61,34,4.11815878,1,1,0,0,1,6.5,2
6,62,33,3.485757065,0,1,1,0,1,6.5,2
6,63,3,3.272467583,1,1,1,0,1,6.5,2
6,64,1,2.01359286,1,1,1,2,1,6.5,2
6,65,123,2.329599314,1,1,1,2,1,6,2
6,66,112,3.650296209,1,1,0,0,1,6,2
6,67,80,2.994244565,1,1,0,2,1,7,2
6,68,121,10.00134211,-1,1,1,0,1,6,2
6,69,12,3.9608334,1,1,0,0,1,6.5,2
6,70,7,10.01620614,-1,1,1,0,1,6.5,2
6,71,130,10.00834426,-1,1,0,0,1,6,2
6,72,120,2.459063693,1,1,0,2,1,6,2
6,73,113,2.088309669,1,1,1,2,1,6,2
6,74,35,2.243857946,1,1,1,2,1,6.5,2
6,75,89,4.081488939,1,1,1,0,1,7,2
6,76,40,2.211601128,1,1,0,2,1,6.5,2
6,77,85,4.347754925,1,1,1,0,1,7,2
6,78,102,2.516672377,1,1,0,2,1,6,2
6,79,25,2.891880478,1,1,1,0,1,6.5,2
6,80,128,2.295657765,1,1,0,2,1,6,2
6,81,10,2.144768534,1,1,0,2,1,6.5,2
6,82,114,2.031857445,1,1,0,2,1,6,2
6,83,98,2.110684503,1,1,0,2,1,6,2
6,84,117,2.380436774,1,1,1,2,1,6,2
6,85,91,2.493477365,1,1,1,2,1,7,2
6,86,30,2.883346943,1,1,0,0,1,6.5,2
6,87,136,2.043019958,1,1,0,2,1,6,2
6,88,64,5.050158557,1,1,0,0,1,7,2
6,89,50,6.402487401,1,1,0,2,1,7,2
6,90,78,7.933840574,1,1,0,0,1,7,2
6,91,118,2.334378505,1,1,0,2,1,6,2
6,92,133,5.324665567,1,1,1,0,1,6,2
6,93,82,3.566524235,1,1,0,0,1,7,2
6,94,60,9.138415097,1,1,0,0,1,7,2
6,95,77,3.619065142,1,1,1,0,1,7,2
6,96,134,3.468796856,1,1,0,0,1,6,2
6,97,88,2.305311536,0,1,0,2,1,7,2
6,98,73,4.046329952,1,1,1,0,1,7,2
6,99,65,6.038991214,1,1,1,2,1,7,2
6,100,140,2.310760574,1,1,0,2,1,6,2
6,101,61,2.178967276,1,1,1,2,1,7,2
6,102,115,4.775175197,1,1,1,0,1,6,2
6,103,47,2.201468291,1,1,1,2,1,6.5,2
6,104,6,2.248626571,1,1,0,2,1,6.5,2
6,105,119,2.102290431,1,1,1,2,1,6,2
6,106,76,2.203948447,1,1,0,2,1,7,2
6,107,29,3.69676653,1,1,1,0,1,6.5,2
6,108,109,2.408393468,1,1,1,2,1,6,2
6,109,83,2.098365228,1,1,1,2,1,7,2
6,110,51,2.637853772,1,1,1,0,1,7,2
6,111,105,2.027062558,1,1,1,2,1,6,2
6,112,28,1.995950125,1,1,0,2,1,6.5,2
6,113,94,8.253547338,1,1,0,0,1,7,2
6,114,93,3.338285897,1,1,1,0,1,7,2
6,115,17,2.103356633,1,1,1,2,1,6.5,2
6,116,63,3.802919375,1,1,1,0,1,7,2
6,117,43,7.13958333,1,1,1,2,1,6.5,2
6,118,18,2.296261201,1,1,0,2,1,6.5,2
6,119,24,2.229966538,1,1,0,2,1,6.5,2
6,120,92,2.362327048,1,1,0,2,1,7,2
6,121,5,2.072657459,1,1,1,2,1,6.5,2
6,122,99,10.01437289,-1,1,1,0,1,6,2
6,123,110,2.458852385,1,1,0,2,1,6,2
6,124,20,9.103551036,1,1,0,0,1,6.5,2
6,125,111,6.139128112,1,1,1,0,1,6,2
6,126,22,2.233152463,1,1,0,2,1,6.5,2
6,127,100,6.120899147,1,1,0,0,1,6,2
6,128,11,2.782356661,1,1,1,0,1,6.5,2
6,129,108,7.226194081,1,1,0,0,1,6,2
6,130,129,4.734797499,1,1,1,0,1,6,2
6,131,21,2.01649201,1,1,1,2,1,6.5,2
6,132,49,2.087544129,1,1,1,2,1,7,2
6,133,90,5.200094787,1,1,0,0,1,7,2
6,134,55,2.699373169,1,1,1,0,1,7,2
6,135,56,4.032666454,1,1,0,0,1,7,2
6,136,52,4.134257153,1,1,0,0,1,7,2
6,137,58,2.466562723,1,1,0,2,1,7,2
6,138,122,10.0074459,-1,1,0,0,1,6,2
6,139,87,3.511542113,1,1,1,2,1,7,2
6,140,4,5.182995114,1,1,0,0,1,6.5,2
6,141,31,2.175474953,1,1,1,2,1,6.5,2
6,142,103,5.446997384,1,1,1,0,1,6,2
6,143,127,2.326329469,1,1,1,2,1,6,2
6,144,86,4.221568542,1,1,0,0,1,7,2
7,1,32,10.00332238,-1,1,0,2,1,6.5,1
7,2,2,3.419192588,0,1,0,2,1,6.5,1
7,3,95,5.590530038,1,1,1,2,1,7,1
7,4,50,6.725895158,0,1,0,2,1,7,1
7,5,46,9.52887884,0,1,0,0,1,6.5,1
7,6,80,7.56544193,1,1,0,2,1,7,1
7,7,20,1.786388081,1,1,0,0,1,6.5,1
7,8,67,4.268753292,1,1,1,0,1,7,1
7,9,3,2.294690863,0,1,1,0,1,6.5,1
7,10,76,2.081609933,0,1,0,2,1,7,1
7,11,64,6.383105849,0,1,0,0,1,7,1
7,12,109,3.517810175,1,1,1,2,1,6,1
7,13,121,3.942378463,0,1,1,0,1,6,1
7,14,37,6.169987186,1,1,1,0,1,6.5,1
7,15,15,5.13345549,1,1,1,0,1,6.5,1
7,16,63,2.739421044,1,1,1,0,1,7,1
7,17,26,5.149755259,0,1,0,0,1,6.5,1
7,18,113,1.829972062,0,1,1,2,1,6,1
7,19,39,3.498664075,1,1,1,2,1,6.5,1
7,20,6,6.099285927,0,1,0,2,1,6.5,1
7,21,48,7.790308164,0,1,0,2,1,6.5,1
7,22,7,2.260543939,1,1,1,0,1,6.5,1
7,23,102,4.414253393,1,1,0,2,1,6,1
7,24,52,2.006159052,1,1,0,0,1,7,1
7,25,92,2.120020769,1,1,0,2,1,7,1
7,26,140,1.887889129,1,1,0,2,1,6,1
7,27,73,2.95536853,1,1,1,0,1,7,1
7,28,11,1.95492297,1,1,1,0,1,6.5,1
7,29,59,2.017607771,1,1,1,0,1,7,1
