Subject,Part,Block,Trial,Stim,Stim_Group,RT,Correct,Stim_pos,Mask_side (correct response in conscious),Response
2,conscious trial,1,1,folder/matchedh16.jpg,2,0.983404665,1,3,2,1
2,conscious trial,1,2,folder/matchedh9.jpg,2,1.505874525,1,3,2,1
2,conscious trial,1,3,folder/matchedh24.jpg,2,1.783390143,1,2,2,1
2,conscious trial,1,4,folder/matchedh7.jpg,2,0.604444732,1,3,2,1
2,conscious trial,1,5,folder/matchedh7.jpg,2,0.53605515,1,1,2,1
2,conscious trial,1,6,folder/matchedh14.jpg,2,0.523612397,1,2,2,1
2,conscious trial,1,7,folder/matchedM103.png,1,0.595625584,1,3,1,2
2,conscious trial,1,8,folder/matchedh20.jpg,2,0.539031937,1,1,2,1
2,conscious trial,1,9,folder/matchedh20.jpg,2,0.487189387,1,4,2,1
2,conscious trial,1,10,folder/matchedh24.jpg,2,0.567161615,1,3,2,1
2,conscious trial,1,11,folder/matchedh9.jpg,2,0.371814841,1,2,2,1
2,conscious trial,1,12,folder/matchedM001.png,1,0.491232366,1,3,1,2
2,conscious trial,1,13,folder/matchedh18.jpg,2,0.507388367,1,1,2,1
2,conscious trial,1,14,folder/matchedh8.jpg,2,0.547016617,1,2,2,1
2,conscious trial,1,15,folder/matchedM067.png,1,0.476375375,1,3,1,2
2,conscious trial,1,16,folder/matchedh9.jpg,2,0.445416555,1,4,2,1
2,conscious trial,1,17,folder/matchedh7.jpg,2,0.366177434,1,4,2,1
2,conscious trial,1,18,folder/matchedh18.jpg,2,0.388524985,0,3,2,2
2,conscious trial,1,19,folder/matchedh7.jpg,2,0.736450005,1,1,2,1
2,conscious trial,1,20,folder/matchedM087.png,1,0.726293626,1,2,1,2
2,conscious trial,1,21,folder/matchedh14.jpg,2,0.855934378,1,3,2,1
2,conscious trial,1,22,folder/matchedh11.jpg,2,0.486423348,1,2,2,1
2,conscious trial,1,23,folder/matchedh18.jpg,2,0.42674844,1,2,2,1
2,conscious trial,1,24,folder/matchedh11.jpg,2,0.357357885,1,2,2,1
2,conscious trial,1,25,folder/matchedh8.jpg,2,0.345846042,1,2,2,1
2,conscious trial,1,26,folder/matchedM006.png,1,0.545463741,1,4,1,2
2,conscious trial,1,27,folder/matchedh20.jpg,2,0.434174978,1,2,2,1
2,conscious trial,1,28,folder/matchedh11.jpg,2,0.82589733,1,3,2,1
2,conscious trial,1,29,folder/matchedh14.jpg,2,0.49406721,1,4,2,1
2,conscious trial,1,30,folder/matchedh4.jpg,2,0.336936166,1,4,2,1
2,conscious trial,1,31,folder/matchedh8.jpg,2,0.493572567,1,1,2,1
2,conscious trial,1,32,folder/matchedh18.jpg,2,0.586532961,1,3,2,1
2,conscious trial,1,33,folder/matchedh24.jpg,2,0.45291111,1,3,2,1
2,conscious trial,1,34,folder/matchedh8.jpg,2,0.406300264,1,1,2,1
2,conscious trial,1,35,folder/matchedh16.jpg,2,0.343711088,1,2,2,1
2,conscious trial,1,36,folder/matchedM102.png,1,0.292509684,0,1,1,1
2,conscious trial,1,37,folder/matchedh4.jpg,2,0.765437154,1,2,2,1
2,conscious trial,1,38,folder/matchedh4.jpg,2,0.773815056,1,2,2,1
2,conscious trial,1,39,folder/matchedh16.jpg,2,0.554050991,1,4,2,1
2,conscious trial,1,40,folder/matchedh4.jpg,2,0.56617351,1,1,2,1
2,conscious trial,1,41,folder/matchedh16.jpg,2,1.395633048,1,3,2,1
2,conscious trial,1,42,folder/matchedh14.jpg,2,0.396225219,1,3,2,1
2,conscious trial,1,43,folder/matchedM023.png,1,0.495039151,1,2,1,2
2,conscious trial,1,44,folder/matchedM021.png,1,0.585009435,1,4,1,2
2,conscious trial,1,45,folder/matchedM003.png,1,0.423911506,1,4,1,2
2,conscious trial,1,46,folder/matchedh11.jpg,2,0.596078626,1,4,2,1
2,conscious trial,1,47,folder/matchedh24.jpg,2,0.783001051,1,1,2,1
2,conscious trial,1,48,folder/matchedh20.jpg,2,0.474168586,1,2,2,1
2,conscious trial,1,49,folder/matchedM017.png,1,0.685615568,1,2,1,2
2,conscious trial,1,50,folder/matchedh9.jpg,2,0.603713196,1,3,2,1
2,conscious trial,2,51,folder/matchedh16.jpg,2,0.526418166,1,4,2,1
2,conscious trial,2,52,folder/matchedM006.png,1,0.557303269,1,4,1,2
2,conscious trial,2,53,folder/matchedh24.jpg,2,0.680991327,1,3,2,1
2,conscious trial,2,54,folder/matchedh7.jpg,2,0.535953256,1,2,2,1
2,conscious trial,2,55,folder/matchedM023.png,1,0.474023358,1,1,1,2
2,conscious trial,2,56,folder/matchedh9.jpg,2,0.48650317,1,3,2,1
2,conscious trial,2,57,folder/matchedM017.png,1,0.493511662,1,1,1,2
2,conscious trial,2,58,folder/matchedM003.png,1,0.434444618,1,4,1,2
2,conscious trial,2,59,folder/matchedh20.jpg,2,0.515033662,1,2,2,1
