Subject,Block,Part,Trial,Stim,cong1incong2,RT,Accuracy,position,Eye,response
1,1,1,1,9-1-5=2,2,2.243816786,0,10,2,3
1,1,1,2,9-4-4=2,2,5.80292463,1,10,1,4
1,1,1,3,9-4-5=0,1,1.674178312,1,10,2,4
1,1,1,4,9-6-2=0,2,1.912675012,1,9,2,3
1,1,1,5,7-4-2=0,2,1.641184816,1,10,2,4
1,1,1,6,9-1-2=6,1,2.002147579,1,10,1,4
1,1,1,7,7-1-2=4,1,3.074256808,1,9,1,3
1,1,1,8,7-3-4=0,1,1.364439555,1,9,2,3
1,1,1,9,7-3-3=1,1,1.272463384,1,10,2,4
1,1,1,10,8-3-5=1,2,2.919764275,1,10,1,4
1,1,1,11,6-2-4=1,2,2.552481671,1,10,2,4
1,1,1,12,8-2-2=5,2,2.404605199,1,9,2,3
1,1,1,13,9-2-3=5,2,1.535381897,1,9,1,3
1,1,1,14,6-4-2=0,1,1.18576046,1,10,2,4
1,1,1,15,9-5-1=2,2,1.747265949,1,9,1,3
1,1,1,16,6-1-1=3,2,1.227892987,1,9,2,3
1,1,1,17,7-1-1=4,2,1.363635612,1,10,2,4
1,1,1,18,9-5-3=1,1,1.448337783,1,9,1,3
1,1,1,19,8-5-3=1,2,1.647400647,1,9,1,3
1,1,1,20,9-3-5=0,2,1.586025356,1,10,1,4
1,1,1,21,8-1-4=3,1,1.584964862,1,9,2,3
1,1,1,22,9-3-4=1,2,1.952634773,1,10,2,4
1,1,1,23,8-1-5=2,1,1.344859501,1,10,2,4
1,1,1,24,7-2-1=4,1,2.23928406,1,9,1,3
1,1,1,25,8-3-3=1,2,1.268795843,1,9,2,3
1,1,1,26,8-1-2=6,2,1.024862357,1,10,2,4
1,1,1,27,8-5-2=1,1,1.197468003,1,9,2,3
1,1,1,28,7-2-4=1,1,1.890983338,1,10,2,4
1,1,1,29,7-2-2=4,2,2.125797976,1,9,1,3
1,1,1,30,5-2-3=1,2,1.230685328,1,9,1,3
1,1,1,31,9-1-6=3,2,1.135265351,1,9,1,3
1,1,1,32,9-1-3=4,2,1.160075118,1,9,1,3
1,1,1,33,9-2-2=4,2,1.343230864,1,9,2,3
