"","Subject","Block","Trial","Stimulus","Group","RT","Acc","Location","Eye","Response","Condition"
"1",101,1,1,"f42887_e_021",1,1.389223244,1,10,2,4,1
"2",101,1,2,"f42887_e_203",1,1.084467741,1,9,2,3,1
"3",101,1,3,"f42887_e_111",1,1.245008425,1,9,2,3,1
"4",101,1,4,"f42887_e_176",1,1.075122793,1,10,1,4,1
"5",101,1,5,"f42887_e_216",1,1.265364714,1,9,1,3,1
"6",101,1,6,"f42887_e_062",1,1.782973124,1,9,1,3,1
"7",101,1,7,"f42887_e_253",1,1.604812117,1,9,1,3,1
"8",101,1,8,"f42887_e_002",1,0.905867237,1,10,1,4,1
"9",101,1,9,"f42887_e_091",1,1.494666199,1,9,1,3,1
"10",101,1,10,"f42887_e_243",1,1.394861669,1,10,2,4,1
"11",101,1,11,"f42887_e_120",1,1.204951,1,10,2,4,1
"12",101,1,12,"f42887_e_141",1,1.24483077,1,9,1,3,1
"13",101,1,13,"f42887_e_219",1,1.104665707,1,10,2,4,1
"14",101,1,14,"f42887_e_278",1,1.10465203,1,10,2,4,1
"15",101,1,15,"f42887_e_295",1,0.794427857,1,10,1,4,1
"16",101,1,16,"f42887_e_240",1,0.974230556,1,10,1,4,1
"17",101,1,17,"f42887_e_189",1,1.284323567,1,9,1,3,1
"18",101,1,18,"f42887_e_188",1,1.054129376,1,9,1,3,1
"19",101,1,19,"f42887_e_071",1,1.424152789,1,9,2,3,1
"20",101,1,20,"f42887_e_275",1,1.04396591,1,10,1,4,1
"21",101,1,21,"f42887_e_207",1,1.144015869,1,10,1,4,1
"22",101,1,22,"f42887_e_136",1,1.213954842,1,9,1,3,1
"23",101,1,23,"f42887_e_163",1,2.814131444,1,10,2,4,1
"24",101,1,24,"f42887_e_094",1,1.293704846,1,9,1,3,1
"25",101,1,25,"f42887_e_027",1,1.303949177,1,9,2,3,1
"26",101,1,26,"f42887_e_291",1,1.093067823,1,9,2,3,1
"27",101,1,27,"f42887_e_117",1,0.97325015,1,10,2,4,1
"28",101,1,28,"f42887_e_092",1,0.973386699,1,10,2,4,1
"29",101,1,29,"f42887_e_014",1,1.062791019,1,9,2,3,1
"30",101,1,30,"f42887_e_038",1,1.032857331,1,9,2,3,1
"31",101,1,31,"f42887_e_005",1,1.503382515,1,9,1,3,1
"32",101,1,32,"f42887_e_050",1,1.043117429,1,10,1,4,1
"33",101,1,33,"f42887_e_037",1,1.282931729,1,10,2,4,1
"34",101,1,34,"f42887_e_233",1,1.532949,1,9,1,3,1
"35",101,1,35,"f42887_e_030",1,1.01244777,1,9,1,3,1
"36",101,1,36,"f42887_e_056",1,0.912273124,1,10,1,4,1
"37",101,1,37,"f42887_e_206",1,0.9525135,1,9,1,3,1
"38",101,1,38,"f42887_e_020",1,1.012420891,1,10,2,4,1
"39",101,1,39,"f42887_e_055",1,1.022418342,1,10,1,4,1
"40",101,1,40,"f42887_e_133",1,0.982265316,1,9,1,3,1
"41",101,1,41,"f42887_e_047",1,1.372096857,1,9,1,3,1
"42",101,1,42,"f42887_e_191",1,1.232266707,1,9,2,3,1
"43",101,1,43,"f42887_e_211",1,0.942069977,1,10,1,4,1
"44",101,1,44,"f42887_e_257",1,1.472286489,1,9,2,3,1
"45",101,1,45,"f42887_e_227",1,0.811885951,1,10,1,4,1
"46",101,1,46,"f42887_e_126",1,0.961766368,1,9,2,3,1
"47",101,1,47,"f42887_e_068",1,0.951644056,1,10,1,4,1
"48",101,1,48,"f42887_e_069",1,1.622091256,1,9,1,3,1
"49",101,1,49,"f42887_e_061",1,1.411896436,1,9,1,3,1
"50",101,1,50,"f42887_e_267",1,1.171536962,1,9,2,3,1
"51",101,1,51,"f42887_e_271",1,1.310814433,1,9,1,3,1
"52",101,1,52,"f42887_e_059",1,1.251551583,1,9,2,3,1
"53",101,1,53,"f42887_e_100",1,1.371694639,1,9,1,3,1
"54",101,1,54,"f42887_e_282",1,1.351434865,1,9,2,3,1
"55",101,1,55,"f42887_e_272",1,1.64156203,1,9,1,3,1
"56",101,1,56,"f42887_e_258",1,1.250998504,1,10,2,4,1
"57",101,1,57,"f42887_e_164",1,0.970609203,1,10,2,4,1
"58",101,1,58,"f42887_e_138",1,0.820342729,1,10,1,4,1
"59",101,1,59,"f42887_e_210",1,1.350926165,1,10,1,4,1
"60",101,1,60,"f42887_e_040",1,1.240909199,1,10,1,4,1
"61",101,1,61,"f42887_e_006",1,1.270856267,1,9,1,3,1
"62",101,1,62,"f42887_e_289",1,1.060554004,1,9,1,3,1
"63",101,1,63,"f42887_e_015",1,1.040644699,1,9,1,3,1
"64",101,1,64,"f42887_e_200",1,1.040613665,1,10,1,4,1
"65",101,1,65,"f42887_e_193",1,1.300335955,1,10,2,4,1
"66",101,1,66,"f42887_e_134",1,1.270448398,1,9,2,3,1
"67",101,1,67,"f42887_e_260",1,0.930227383,1,10,2,4,1
"68",101,1,68,"f42887_e_016",1,0.949532579,1,9,1,3,1
"69",101,1,69,"f42887_e_194",1,1.270275034,1,10,2,4,1
"70",101,1,70,"f42887_e_124",1,2.990775053,1,9,1,3,1
"71",101,1,71,"f42887_e_222",1,0.969921549,1,9,2,3,1
"72",101,1,72,"f42887_e_162",1,1.100131116,1,10,1,4,1
"73",101,1,73,"f42887_e_106",1,1.119768094,1,10,2,4,1
"74",101,1,74,"f42887_e_277",1,1.370005124,1,10,2,4,1
"75",101,1,75,"f42887_e_118",1,2.390231308,1,10,1,4,1
"76",101,1,76,"f42887_e_084",1,2.910330872,1,9,1,3,1
"77",101,1,77,"f42887_e_115",1,1.339705662,1,10,2,4,1
"78",101,1,78,"f42887_e_284",1,1.879747135,1,9,2,3,1
"79",101,1,79,"f42887_e_214",1,1.109511594,1,10,1,4,1
"80",101,1,80,"f42887_e_074",1,1.129422237,1,10,1,4,1
"81",101,1,81,"f42887_e_072",1,1.039384256,1,10,1,4,1
"82",101,1,82,"f42887_e_010",1,1.559750966,1,9,2,3,1
"83",101,1,83,"f42887_e_261",1,1.028908872,1,10,1,4,1
"84",101,1,84,"f42887_e_205",1,0.948760549,1,10,2,4,1
"85",101,1,85,"f42887_e_034",1,1.269254752,1,9,2,3,1
"86",101,1,86,"f42887_e_085",1,1.679355617,1,9,2,3,1
"87",101,1,87,"f42887_e_065",1,1.1388165,1,9,2,3,1
"88",101,1,88,"f42887_e_228",1,0.908552763,1,9,2,3,1
"89",101,1,89,"f42887_e_269",1,0.968545233,1,10,1,4,1
"90",101,1,90,"f42887_e_039",1,1.208817677,1,9,2,3,1
"91",101,1,91,"f42887_e_131",1,1.91854338,1,9,1,3,1
"92",101,1,92,"f42887_e_178",1,0.92856718,1,9,2,3,1
"93",101,1,93,"f42887_e_209",1,1.408700774,1,9,2,3,1
"94",101,1,94,"f42887_e_158",1,1.154193752,1,10,2,4,1
"95",101,1,95,"f42887_e_190",1,1.13856868,1,10,2,4,1
"96",101,1,96,"f42887_e_280",1,1.848661853,1,9,2,3,1
"97",101,1,97,"f42887_e_051",1,1.608461838,1,9,2,3,1
"98",101,1,98,"f42887_e_070",1,2.178133549,1,9,1,3,1
"99",101,1,99,"f42887_e_079",1,1.118280951,1,10,2,4,1
"100",101,1,100,"f42887_e_109",1,1.077012135,1,10,2,4,1
"101",101,1,101,"f42887_e_250",1,1.157914921,1,10,2,4,1
"102",101,1,102,"f42887_e_011",1,1.178035184,1,10,2,4,1
"103",101,1,103,"f42887_e_102",1,1.284012357,1,9,1,3,1
"104",101,1,104,"f42887_e_017",1,0.987493275,1,10,1,4,1
"105",101,1,105,"f42887_e_285",1,1.875329996,1,9,2,3,1
"106",101,1,106,"f42887_e_192",1,1.527739936,1,9,1,3,1
"107",101,1,107,"f42887_e_220",1,0.995987522,1,10,1,4,1
"108",101,1,108,"f42887_e_182",1,1.632613669,1,9,2,3,1
"109",101,1,109,"f42887_e_000",1,2.777317526,1,9,1,3,1
"110",101,1,110,"f42887_e_042",1,1.216998951,1,10,2,4,1
"111",101,1,111,"f42887_e_244",1,1.077014729,1,9,2,3,1
"112",101,1,112,"f42887_e_263",1,1.256708094,1,9,1,3,1
"113",101,1,113,"f42887_e_232",1,1.476921846,1,10,2,4,1
"114",101,1,114,"f42887_e_026",1,1.709011639,1,9,2,3,1
"115",101,1,115,"f42887_e_223",1,1.181546274,1,9,2,3,1
"116",101,1,116,"f42887_e_064",1,1.657014537,1,10,2,4,1
"117",101,1,117,"f42887_e_290",1,4.499828019,1,9,1,3,1
"118",101,1,118,"f42887_e_107",1,2.286633034,1,9,1,3,1
"119",101,1,119,"f42887_e_296",1,1.696498489,1,9,2,3,1
"120",101,1,120,"f42887_e_081",1,2.429057282,1,9,2,3,1
"121",101,1,121,"f42887_e_249",1,1.686698425,1,10,1,4,1
"122",101,1,122,"f42887_e_001",1,1.246431545,1,9,2,3,1
"123",101,1,123,"f42887_e_281",1,1.326339786,1,10,1,4,1
"124",101,1,124,"f42887_e_173",1,1.436469293,1,10,1,4,1
