Participant,block,trial,stim,stim group,RT,Acuracy,stim position,mask side,response
1,1,1,folder/matchedM024IN.png,3,1.265852789,1,3,2,3
1,1,2,folder/matchedM049IN.png,3,1.541979251,1,4,2,4
1,1,3,folder/matchedM002.png,1,1.626291163,1,4,2,4
1,1,4,folder/matchedM021.png,1,2.03366861,1,2,2,2
1,1,5,folder/matchedM067IN.png,4,2.438436483,1,3,1,3
1,1,6,folder/matchedM001IN.png,4,1.304743067,1,4,1,4
1,1,7,folder/matchedM005SR.png,6,4.004759011,1,4,1,4
1,1,8,folder/matchedM072IN.png,3,2.980558886,1,1,2,1
1,1,9,folder/matchedM020SR.png,6,3.888131376,1,3,1,3
1,1,10,folder/matchedM024IN.png,4,1.366201003,1,1,1,1
1,1,11,folder/matchedM006IN.png,4,4.642850013,1,1,1,1
1,1,12,folder/matchedM002IN.png,3,3.022531071,1,3,2,3
1,1,13,folder/matchedM067.png,1,2.260112383,1,1,2,1
1,1,14,folder/matchedM021SL.png,5,3.173565241,1,1,2,1
1,1,15,folder/matchedM001IN.png,3,1.095099237,1,3,2,3
1,1,16,folder/matchedM016.png,2,0.973122765,1,1,1,1
1,1,17,folder/matchedM008.png,1,1.119639046,1,3,2,3
1,1,18,folder/matchedM072IN.png,4,2.330041059,1,2,1,2
1,1,19,folder/matchedM004.png,1,0.985056514,1,2,2,2
1,1,20,folder/matchedM020.png,2,1.311868636,1,2,1,2
1,1,21,folder/matchedM001SR.png,6,1.311592303,1,3,1,3
1,1,22,folder/matchedM024SR.png,5,3.31242772,1,3,2,3
1,1,23,folder/matchedM072.png,2,1.876293335,1,2,1,2
1,1,24,folder/matchedM020IN.png,3,2.10229339,1,2,2,2
1,1,25,folder/matchedM004IN.png,3,1.279913921,1,4,2,4
1,1,26,folder/matchedM006.png,1,1.496127613,1,4,2,4
1,1,27,folder/matchedM072.png,1,1.144860911,1,3,2,3
1,1,28,folder/matchedM003SR.png,6,1.171691358,1,1,1,1
1,1,29,folder/matchedM008.png,2,1.076883747,1,2,1,2
1,1,30,folder/matchedM016.png,1,1.441773845,0,4,2,3
1,1,31,folder/matchedM049SL.png,5,3.412445955,1,1,2,1
1,1,32,folder/matchedM016IN.png,3,1.270669649,1,1,2,1
1,1,33,folder/matchedM017.png,2,1.518628347,1,4,1,4
1,1,34,folder/matchedM067SR.png,5,1.819456633,1,1,2,1
1,1,35,folder/matchedM002.png,2,1.814140859,1,4,1,4
1,1,36,folder/matchedM006IN.png,3,2.053095509,1,1,2,1
1,1,37,folder/matchedM006SL.png,6,8.560240522,1,2,1,2
1,1,38,folder/matchedM006SL.png,5,7.606381529,1,3,2,3
1,1,39,folder/matchedM003SR.png,5,4.692631198,1,1,2,1
1,1,40,folder/matchedM005.png,1,0.73921306,1,1,2,1
1,1,41,folder/matchedM019.png,2,1.831814071,1,4,1,4
1,1,42,folder/matchedM004SL.png,6,1.907915097,0,3,1,2
1,1,43,folder/matchedM020.png,1,0.944627992,1,3,2,3
1,1,44,folder/matchedM016IN.png,4,2.285317282,1,3,1,3
1,1,45,folder/matchedM049IN.png,4,3.78288213,1,2,1,2
1,1,46,folder/matchedM001.png,2,1.352265211,1,1,1,1
1,1,47,folder/matchedM021SL.png,6,3.614862513,1,1,1,1
1,1,48,folder/matchedM049.png,2,2.219771571,1,3,1,3
1,1,49,folder/matchedM008IN.png,4,1.301157901,1,1,1,1
1,1,50,folder/matchedM021.png,2,2.144081143,0,3,1,4
1,1,51,folder/matchedM008SR.png,6,1.509418861,1,3,1,3
1,1,52,folder/matchedM017SR.png,6,3.287383888,1,2,1,2
1,1,53,folder/matchedM008IN.png,3,1.409459941,1,1,2,1
1,1,54,folder/matchedM017IN.png,4,2.112690841,1,2,1,2
1,1,55,folder/matchedM005SR.png,5,1.634343718,1,2,2,2
1,1,56,folder/matchedM019IN.png,3,1.75475828,1,4,2,4
1,1,57,folder/matchedM006.png,2,2.132328332,1,4,1,4
1,1,58,folder/matchedM067SR.png,6,4.03236349,0,3,1,4
1,1,59,folder/matchedM005IN.png,4,1.770041397,1,2,1,2
1,1,60,folder/matchedM049SL.png,6,2.319531037,1,1,1,1
1,1,61,folder/matchedM004IN.png,4,2.214728216,1,3,1,3
1,1,62,folder/matchedM019SL.png,6,3.214549482,1,2,1,2
1,1,63,folder/matchedM004SL.png,5,1.224187294,1,1,2,1
1,1,64,folder/matchedM017IN.png,3,1.76540081,1,3,2,3
1,1,65,folder/matchedM002IN.png,4,2.079603409,1,4,1,4
1,1,66,folder/matchedM049.png,1,1.53437478,1,1,2,1
1,1,67,folder/matchedM003IN.png,3,2.234155885,1,1,2,1
1,1,68,folder/matchedM020SR.png,5,1.152094438,1,3,2,3
1,1,69,folder/matchedM017.png,1,1.133737055,1,4,2,4
1,1,70,folder/matchedM019.png,1,1.470658014,1,4,2,4
1,1,71,folder/matchedM016SL.png,6,3.252878794,1,2,1,2
1,1,72,folder/matchedM004.png,2,1.27465067,1,1,1,1
1,1,73,folder/matchedM024.png,2,1.308555032,1,2,1,2
1,1,74,folder/matchedM072SL.png,6,1.54669953,1,4,1,4
1,1,75,folder/matchedM005IN.png,3,1.97610809,1,3,2,3
1,1,76,folder/matchedM008SR.png,5,1.579689275,1,1,2,1
1,1,77,folder/matchedM002SL.png,6,1.976600226,1,2,1,2
1,1,78,folder/matchedM067IN.png,3,1.244041351,0,2,2,3
1,1,79,folder/matchedM003.png,1,1.589870006,1,4,2,4
1,1,80,folder/matchedM017SR.png,5,2.313070963,1,2,2,2
1,1,81,folder/matchedM003.png,2,3.645235525,1,4,1,4
1,1,82,folder/matchedM024SR.png,6,3.946969447,1,1,1,1
1,1,83,folder/matchedM005.png,2,1.742761404,1,4,1,4
1,1,84,folder/matchedM072SL.png,5,2.984560403,1,3,2,3
1,1,85,folder/matchedM001SR.png,5,3.124548795,1,3,2,3
1,1,86,folder/matchedM002SL.png,5,3.115979319,0,1,2,4
1,1,87,folder/matchedM024.png,1,1.173476417,1,1,2,1
1,1,88,folder/matchedM021IN.png,4,4.101152403,1,3,1,3
1,1,89,folder/matchedM019SL.png,5,1.886002168,1,3,2,3
1,1,90,folder/matchedM021IN.png,3,1.734850024,1,3,2,3
1,1,91,folder/matchedM016SL.png,5,1.011221627,1,1,2,1
1,1,92,folder/matchedM001.png,1,1.425216941,1,3,2,3
1,1,93,folder/matchedM020IN.png,4,1.573702306,1,2,1,2
1,1,94,folder/matchedM067.png,2,1.682289686,1,1,1,1
1,1,95,folder/matchedM003IN.png,4,4.75445006,1,2,1,2
1,1,96,folder/matchedM019IN.png,4,4.154964221,1,2,1,2
9,1,1,folder/matchedM008.png,1,1.628300799,1,3,2,3
9,1,2,folder/matchedM001IN.png,4,3.533842447,1,4,1,4
9,1,3,folder/matchedM001SR.png,6,5.300184505,1,3,1,3
9,1,4,folder/matchedM049SL.png,5,1.044719639,1,4,2,4
9,1,5,folder/matchedM016.png,2,1.183046656,1,4,1,4
9,1,6,folder/matchedM017SR.png,5,2.428746905,1,3,2,3
9,1,7,folder/matchedM049.png,2,1.452973197,1,2,1,2
9,1,8,folder/matchedM006SL.png,6,2.083594516,1,1,1,1
9,1,9,folder/matchedM001SR.png,5,3.362229939,1,3,2,3
9,1,10,folder/matchedM067IN.png,3,1.369627595,0,4,2,1
9,1,11,folder/matchedM072IN.png,4,2.447832859,1,4,1,4
9,1,12,folder/matchedM049SL.png,6,1.198503651,1,2,1,2
9,1,13,folder/matchedM008SR.png,5,0.927484174,1,4,2,4
9,1,14,folder/matchedM024.png,1,1.089373447,1,1,2,1
9,1,15,folder/matchedM021IN.png,4,3.886952565,1,1,1,1
9,1,16,folder/matchedM005.png,1,0.922064845,1,4,2,4
9,1,17,folder/matchedM003SR.png,5,5.035469657,1,2,2,2
9,1,18,folder/matchedM024.png,2,1.250704322,1,2,1,2
9,1,19,folder/matchedM020.png,1,1.10234299,1,4,2,4
9,1,20,folder/matchedM006SL.png,5,1.160565265,1,4,2,4
9,1,21,folder/matchedM017.png,1,1.362075788,1,3,2,3
9,1,22,folder/matchedM019IN.png,3,1.229955975,1,1,2,1
9,1,23,folder/matchedM067.png,2,1.958517291,1,2,1,2
9,1,24,folder/matchedM002.png,1,0.989195345,1,2,2,2
9,1,25,folder/matchedM019.png,2,2.018650338,1,3,1,3
9,1,26,folder/matchedM021SL.png,5,1.756141906,1,1,2,1
9,1,27,folder/matchedM003IN.png,3,2.418979272,1,2,2,2
9,1,28,folder/matchedM020SR.png,5,1.44746562,1,4,2,4
9,1,29,folder/matchedM067SR.png,5,1.338468438,1,3,2,3
9,1,30,folder/matchedM049IN.png,3,1.356402005,1,2,2,2
9,1,31,folder/matchedM072.png,1,1.227161412,1,3,2,3
9,1,32,folder/matchedM006.png,1,1.482425952,1,1,2,1
9,1,33,folder/matchedM001.png,1,0.892801332,1,1,2,1
9,1,34,folder/matchedM002SL.png,5,0.976793205,1,4,2,4
9,1,35,folder/matchedM005SR.png,6,2.02926492,1,1,1,1
9,1,36,folder/matchedM016SL.png,6,2.057139232,1,2,1,2
9,1,37,folder/matchedM024SR.png,6,2.051912243,1,1,1,1
9,1,38,folder/matchedM072SL.png,5,1.917534156,1,2,2,2
9,1,39,folder/matchedM008SR.png,6,3.057112342,1,2,1,2
9,1,40,folder/matchedM017IN.png,4,3.547156265,1,2,1,2
9,1,41,folder/matchedM005SR.png,5,1.391284304,1,4,2,4
9,1,42,folder/matchedM021.png,1,1.305788131,1,3,2,3
9,1,43,folder/matchedM001IN.png,3,1.29379807,1,4,2,4
9,1,44,folder/matchedM006.png,2,1.231601553,1,1,1,1
9,1,45,folder/matchedM019SL.png,5,3.017174188,1,2,2,2
